storeid,storelabel,storetype,storesize,sizecategory
1,Store_01,A,213810,Large
2,Store_02,C,31639,Small
3,Store_03,B,102098,Medium
4,Store_04,B,88289,Medium
5,Store_05,A,218696,Large
6,Store_06,A,207397,Large
7,Store_07,A,134165,Medium
8,Store_08,C,36140,Small
9,Store_09,B,100495,Medium
10,Store_10,B,143563,Medium
11,Store_11,A,215181,Large
12,Store_12,C,44446,Small
13,Store_13,C,68618,Small
14,Store_14,A,130851,Medium
15,Store_15,A,185392,Large
16,Store_16,A,166421,Large
17,Store_17,A,158221,Large
18,Store_18,B,83396,Medium
19,Store_19,A,179797,Large
20,Store_20,A,177052,Large
21,Store_21,B,149131,Medium
22,Store_22,A,135695,Medium
23,Store_23,A,200284,Large
24,Store_24,A,179615,Large
25,Store_25,B,142357,Medium
26,Store_26,B,117400,Medium
27,Store_27,A,139116,Medium
28,Store_28,B,99871,Medium
29,Store_29,B,80458,Medium
30,Store_30,A,143238,Medium
31,Store_31,B,106434,Medium
32,Store_32,A,213320,Large
33,Store_33,A,151319,Large
34,Store_34,C,53283,Small
35,Store_35,C,73920,Small
36,Store_36,C,75994,Small
37,Store_37,A,209840,Large
38,Store_38,A,200010,Large
39,Store_39,B,91417,Medium
40,Store_40,A,179735,Large
41,Store_41,A,213886,Large
42,Store_42,B,112504,Medium
43,Store_43,A,160021,Large
44,Store_44,C,82759,Medium
45,Store_45,A,182581,Large
46,Store_46,B,78675,Small
47,Store_47,A,204341,Large
48,Store_48,B,97869,Medium
49,Store_49,B,121856,Medium
50,Store_50,A,148726,Medium
