year,month,monthname,season,ca_total,ca_moyen,nb_obs
2022,1,January,Winter,294486086.0,58897.22,5000
2022,2,February,Winter,226639990.0,56660.0,4000
2022,3,March,Spring,195497327.0,48874.33,4000
2022,4,April,Spring,245778514.0,49155.7,5000
2022,5,May,Spring,192768648.0,48192.16,4000
2022,6,June,Summer,198250854.0,49562.71,4000
2022,7,July,Summer,258980368.0,51796.07,5000
2022,8,August,Summer,195170174.0,48792.54,4000
2022,9,September,Fall,249388760.0,62347.19,4000
2022,10,October,Fall,293935405.0,58787.08,5000
2022,11,November,Fall,283797286.0,70949.32,4000
2022,12,December,Winter,356167124.0,71233.42,5000
2023,1,January,Winter,238692789.0,59673.2,4000
2023,2,February,Winter,227212335.0,56803.08,4000
2023,3,March,Spring,195604561.0,48901.14,4000
2023,4,April,Spring,247968878.0,49593.78,5000
2023,5,May,Spring,195725403.0,48931.35,4000
2023,6,June,Summer,197033623.0,49258.41,4000
2023,7,July,Summer,256724252.0,51344.85,5000
2023,8,August,Summer,197365952.0,49341.49,4000
2023,9,September,Fall,308625859.0,61725.17,5000
2023,10,October,Fall,236513293.0,59128.32,4000
2023,11,November,Fall,280027360.0,70006.84,4000
2023,12,December,Winter,357922298.0,71584.46,5000
2024,1,January,Winter,239146905.0,59786.73,4000
2024,2,February,Winter,222075136.0,55518.78,4000
2024,3,March,Spring,247155163.0,49431.03,5000
2024,4,April,Spring,199378630.0,49844.66,4000
2024,5,May,Spring,195217069.0,48804.27,4000
2024,6,June,Summer,243407715.0,48681.54,5000
2024,7,July,Summer,210597393.0,52649.35,4000
2024,8,August,Summer,248223358.0,49644.67,5000
2024,9,September,Fall,249457779.0,62364.44,4000
2024,10,October,Fall,232681801.0,58170.45,4000
2024,11,November,Fall,389099792.0,77819.96,5000
2024,12,December,Winter,207826373.0,69275.46,3000
