storetype,sizecategory,region,nb_stores,ca_total,ca_moyen
A,Large,East,8,2030153327.0,81336.27
A,Large,North,6,1610157340.0,86012.68
A,Large,South,4,1109502600.0,88902.45
A,Large,West,2,582471964.0,93344.87
B,Medium,South,4,496927836.0,39817.94
B,Medium,West,4,464203086.0,37195.76
B,Medium,East,3,438058237.0,46801.09
B,Medium,North,4,427529550.0,34257.18
A,Medium,West,2,390848254.0,62635.94
A,Medium,North,2,379176895.0,60765.53
A,Medium,East,1,207839671.0,66615.28
A,Medium,South,1,184862681.0,59250.86
C,Small,East,3,151907765.0,16229.46
B,Small,South,1,87890737.0,28170.11
C,Small,South,2,77394638.0,12402.99
C,Medium,East,1,71561804.0,22936.48
C,Small,North,1,65444403.0,20975.77
C,Small,West,1,38613466.0,12376.11
