deptid,deptlabel,ca_total,ca_moyen,nb_stores
20,Dept_20,592303555.0,75936.35,50
19,Dept_19,572534948.0,73401.92,50
18,Dept_18,560188573.0,71819.05,50
17,Dept_17,539800381.0,69205.18,50
16,Dept_16,529686011.0,67908.46,50
15,Dept_15,508925177.0,65246.82,50
14,Dept_14,491760185.0,63046.18,50
13,Dept_13,474922756.0,60887.53,50
12,Dept_12,467190571.0,59896.23,50
11,Dept_11,454113550.0,58219.69,50
10,Dept_10,434058033.0,55648.47,50
9,Dept_09,419495909.0,53781.53,50
8,Dept_08,402482537.0,51600.33,50
7,Dept_07,382164263.0,48995.42,50
6,Dept_06,372289273.0,47729.39,50
5,Dept_05,350712009.0,44963.08,50
4,Dept_04,337556882.0,43276.52,50
3,Dept_03,324994555.0,41665.97,50
2,Dept_02,309200315.0,39641.07,50
1,Dept_01,290164770.0,37200.61,50
