segment_promo,storetype,region,nb_obs,ca_moyen,md_moyen
1_Faible,A,East,900,74530.95,4207.67
1_Faible,A,North,600,75089.98,4348.06
1_Faible,A,South,400,75502.97,4169.06
1_Faible,A,West,260,77226.26,4109.26
1_Faible,B,East,220,45162.6,4337.62
1_Faible,B,North,260,32958.33,4424.42
1_Faible,B,South,500,36073.93,4309.48
1_Faible,B,West,380,36140.73,3883.72
1_Faible,C,East,280,17979.45,4288.3
1_Faible,C,North,100,19400.14,4172.58
1_Faible,C,South,120,12413.42,4278.6
1_Faible,C,West,120,10944.25,4013.11
2_Moderee,A,East,25440,77097.88,10717.57
2_Moderee,A,North,22600,76418.78,10438.13
2_Moderee,A,South,13960,79595.32,10626.07
2_Moderee,A,West,11260,75057.93,10251.62
2_Moderee,B,East,8460,45063.93,10456.31
2_Moderee,B,North,11360,33174.81,10468.26
2_Moderee,B,South,13920,36295.23,10378.4
2_Moderee,B,West,11240,35622.16,10490.76
2_Moderee,C,East,11240,17201.95,10385.82
2_Moderee,C,North,2700,19846.0,10297.44
2_Moderee,C,South,5660,11929.06,10367.04
2_Moderee,C,West,2740,11852.15,10513.07
3_Forte,A,East,1740,120428.27,24793.04
3_Forte,A,North,1760,123418.1,25318.62
3_Forte,A,South,1240,123397.97,25087.31
3_Forte,A,West,960,112592.86,24294.07
3_Forte,B,East,680,68943.5,24388.79
3_Forte,B,North,860,48947.09,25939.96
3_Forte,B,South,1180,52162.67,25418.56
3_Forte,B,West,860,58228.56,25536.29
3_Forte,C,East,960,26130.6,24951.57
3_Forte,C,North,320,31000.61,24937.36
3_Forte,C,South,460,18231.65,26403.26
3_Forte,C,West,260,18558.74,25295.7
