storeid,storelabel,storetype,storesize,sizecategory,region,ca_total,ca_moyen,nb_semaines,nb_depts,rang,tercile
32,Store_32,A,213320,Large,East,303223049.0,97186.87,156,20,1,1
41,Store_41,A,213886,Large,South,301811851.0,96734.57,156,20,2,1
5,Store_05,A,218696,Large,North,300063877.0,96174.32,156,20,3,1
1,Store_01,A,213810,Large,North,299904996.0,96123.4,156,20,4,1
11,Store_11,A,215181,Large,West,292354025.0,93703.21,156,20,5,1
37,Store_37,A,209840,Large,South,291374339.0,93389.21,156,20,6,1
6,Store_06,A,207397,Large,West,290117939.0,92986.52,156,20,7,1
47,Store_47,A,204341,Large,East,285766679.0,91591.88,156,20,8,1
38,Store_38,A,200010,Large,South,280749382.0,89983.78,156,20,9,1
23,Store_23,A,200284,Large,North,279639037.0,89627.9,156,20,10,1
15,Store_15,A,185392,Large,East,258960009.0,83000.0,156,20,11,1
45,Store_45,A,182581,Large,East,255205828.0,81796.74,156,20,12,1
40,Store_40,A,179735,Large,East,253911560.0,81381.91,156,20,13,1
24,Store_24,A,179615,Large,North,253447308.0,81233.11,156,20,14,1
19,Store_19,A,179797,Large,North,253132541.0,81132.22,156,20,15,1
20,Store_20,A,177052,Large,East,245499351.0,78685.69,156,20,16,1
16,Store_16,A,166421,Large,South,235567028.0,75502.25,156,20,17,1
43,Store_43,A,160021,Large,North,223969582.0,71785.12,156,20,18,2
17,Store_17,A,158221,Large,East,218793109.0,70126.0,156,20,19,2
33,Store_33,A,151319,Large,East,208793742.0,66921.07,156,20,20,2
50,Store_50,A,148726,Medium,East,207839671.0,66615.28,156,20,21,2
30,Store_30,A,143238,Medium,West,202004513.0,64745.04,156,20,22,2
27,Store_27,A,139116,Medium,North,192448692.0,61682.27,156,20,23,2
22,Store_22,A,135695,Medium,West,188843741.0,60526.84,156,20,24,2
7,Store_07,A,134165,Medium,North,186728203.0,59848.78,156,20,25,2
14,Store_14,A,130851,Medium,South,184862681.0,59250.86,156,20,26,2
21,Store_21,B,149131,Medium,East,166653394.0,53414.55,156,20,27,2
25,Store_25,B,142357,Medium,East,160251437.0,51362.64,156,20,28,2
10,Store_10,B,143563,Medium,South,159792227.0,51215.46,156,20,29,2
49,Store_49,B,121856,Medium,West,133768983.0,42874.67,156,20,30,2
26,Store_26,B,117400,Medium,South,130805424.0,41924.82,156,20,31,2
42,Store_42,B,112504,Medium,North,124895294.0,40030.54,156,20,32,2
31,Store_31,B,106434,Medium,West,118688121.0,38041.06,156,20,33,2
3,Store_03,B,102098,Medium,South,115529958.0,37028.83,156,20,34,2
9,Store_09,B,100495,Medium,North,112887362.0,36181.85,156,20,35,3
28,Store_28,B,99871,Medium,East,111153406.0,35626.09,156,20,36,3
48,Store_48,B,97869,Medium,West,108554137.0,34792.99,156,20,37,3
39,Store_39,B,91417,Medium,West,103191846.0,33074.31,156,20,38,3
4,Store_04,B,88289,Medium,North,96965353.0,31078.64,156,20,39,3
18,Store_18,B,83396,Medium,North,92781541.0,29737.67,156,20,40,3
29,Store_29,B,80458,Medium,South,90800227.0,29102.64,156,20,41,3
46,Store_46,B,78675,Small,South,87890737.0,28170.11,156,20,42,3
44,Store_44,C,82759,Medium,East,71561804.0,22936.48,156,20,43,3
36,Store_36,C,75994,Small,North,65444403.0,20975.77,156,20,44,3
35,Store_35,C,73920,Small,East,64256627.0,20595.07,156,20,45,3
13,Store_13,C,68618,Small,East,60273453.0,19318.41,156,20,46,3
34,Store_34,C,53283,Small,South,46033475.0,14754.32,156,20,47,3
12,Store_12,C,44446,Small,West,38613466.0,12376.11,156,20,48,3
8,Store_08,C,36140,Small,South,31361162.0,10051.65,156,20,49,3
2,Store_02,C,31639,Small,East,27377685.0,8774.9,156,20,50,3
