storeid,date,markdown1,markdown2,markdown3,markdown4,markdown5,totalmarkdown,hasmarkdown,markdownsegment
1,2022-01-01,10334.49,5905.86,5261.52,7098.43,876.08,29476.38,1,Promo forte
1,2022-01-08,1356.75,2486.21,1427.01,983.27,2442.13,8695.369999999999,1,Promo modérée
1,2022-01-15,3861.22,596.15,22.09,2854.11,3180.86,10514.43,1,Promo modérée
1,2022-01-22,579.35,2589.31,2493.19,1158.14,286.01,7106.000000000001,1,Promo modérée
1,2022-01-29,4436.06,1416.64,478.38,2496.36,3423.53,12250.970000000001,1,Promo modérée
1,2022-02-05,2137.71,76.26,431.57,110.0,2863.85,5619.39,1,Promo modérée
1,2022-02-12,2051.91,2266.65,915.19,269.43,1303.88,6807.06,1,Promo modérée
1,2022-02-19,4357.3,2411.02,746.28,3123.96,2427.04,13065.599999999999,1,Promo modérée
1,2022-02-26,1139.68,1281.32,3272.06,3012.56,31.28,8736.9,1,Promo modérée
1,2022-03-05,1688.08,2828.73,1292.81,1815.77,3163.59,10788.98,1,Promo modérée
1,2022-03-12,2486.24,902.63,1139.36,129.1,2743.04,7400.37,1,Promo modérée
1,2022-03-19,1197.81,434.68,1957.81,3449.78,1089.25,8129.33,1,Promo modérée
1,2022-03-26,1838.92,1896.92,2534.12,1875.21,406.3,8551.47,1,Promo modérée
1,2022-04-02,2954.46,2032.69,66.35,1792.33,1019.23,7865.0599999999995,1,Promo modérée
1,2022-04-09,4683.65,412.56,1364.27,397.16,4161.12,11018.759999999998,1,Promo modérée
1,2022-04-16,2776.0,1588.95,967.41,325.86,4037.47,9695.689999999999,1,Promo modérée
1,2022-04-23,3629.78,2691.33,3548.35,2729.56,2889.14,15488.16,1,Promo modérée
1,2022-04-30,45.99,304.41,2654.01,17.72,723.64,3745.77,1,Promo faible
1,2022-05-07,3560.9,711.75,1301.6,2612.72,2923.35,11110.32,1,Promo modérée
1,2022-05-14,1838.58,795.61,975.96,3405.54,1768.94,8784.630000000001,1,Promo modérée
1,2022-05-21,2884.52,1477.55,780.97,2528.58,1263.48,8935.1,1,Promo modérée
1,2022-05-28,4769.64,2744.59,1480.63,54.1,4177.43,13226.390000000001,1,Promo modérée
1,2022-06-04,1472.24,1155.29,3404.55,1109.23,762.72,7904.03,1,Promo modérée
1,2022-06-11,485.88,1845.02,3960.22,490.29,2332.48,9113.89,1,Promo modérée
1,2022-06-18,1797.46,880.78,3237.44,2835.4,3901.83,12652.91,1,Promo modérée
1,2022-06-25,3249.82,2105.9,3183.17,3115.02,1520.98,13174.89,1,Promo modérée
1,2022-07-02,5121.58,3581.45,2521.56,4549.42,301.95,16075.96,1,Promo modérée
1,2022-07-09,2611.22,2309.98,863.28,2180.12,384.06,8348.66,1,Promo modérée
1,2022-07-16,3630.46,2927.56,2065.2,1130.35,3578.34,13331.910000000002,1,Promo modérée
1,2022-07-23,4813.24,2507.94,2783.9,1431.34,779.82,12316.24,1,Promo modérée
1,2022-07-30,3300.99,839.8,3819.46,2582.64,2494.59,13037.48,1,Promo modérée
1,2022-08-06,3789.23,43.18,464.29,161.01,183.28,4640.99,1,Promo faible
1,2022-08-13,2458.08,1420.42,692.81,1518.48,1793.27,7883.0599999999995,1,Promo modérée
1,2022-08-20,3129.3,1509.41,3425.96,2305.43,733.2,11103.300000000001,1,Promo modérée
1,2022-08-27,4701.15,1726.42,1552.68,2251.51,2062.14,12293.9,1,Promo modérée
1,2022-09-03,9958.86,1292.22,610.38,775.99,180.4,12817.849999999999,1,Promo modérée
1,2022-09-10,4224.38,69.82,3257.87,986.49,531.74,9070.3,1,Promo modérée
1,2022-09-17,4017.4,846.1,709.76,2627.15,3630.76,11831.17,1,Promo modérée
1,2022-09-24,1704.02,2792.27,3433.65,1501.48,3378.92,12810.34,1,Promo modérée
1,2022-10-01,4132.29,960.15,3582.09,1362.21,48.77,10085.509999999998,1,Promo modérée
1,2022-10-08,4753.04,1720.31,2527.35,1569.56,1319.45,11889.710000000001,1,Promo modérée
1,2022-10-15,3948.09,273.62,1977.68,201.46,2472.88,8873.73,1,Promo modérée
1,2022-10-22,714.96,2284.53,2472.87,353.93,378.48,6204.77,1,Promo modérée
1,2022-10-29,406.74,254.51,3946.56,1309.95,1667.89,7585.65,1,Promo modérée
