deptid,deptlabel,catotal,camoyen,nbstores
20,Dept_20,592303555.36,75936.35325128205,50
19,Dept_19,572534948.42,73401.91646410256,50
18,Dept_18,560188572.79,71819.04779358974,50
17,Dept_17,539800380.95,69205.1770448718,50
16,Dept_16,529686011.33,67908.46299102563,50
15,Dept_15,508925177.42,65246.81761794872,50
14,Dept_14,491760184.52,63046.1775025641,50
13,Dept_13,474922755.95,60887.53281410256,50
12,Dept_12,467190570.79,59896.227024358974,50
11,Dept_11,454113549.71,58219.68586025641,50
10,Dept_10,434058032.61,55648.46571923077,50
9,Dept_09,419495908.87,53781.52677820513,50
8,Dept_08,402482536.96,51600.32525128205,50
7,Dept_07,382164263.23,48995.418362820514,50
6,Dept_06,372289272.64,47729.39392820513,50
5,Dept_05,350712009.36,44963.07812307693,50
4,Dept_04,337556881.92,43276.52332307692,50
3,Dept_03,324994555.1,41665.968602564106,50
2,Dept_02,309200315.2,39641.06605128205,50
1,Dept_01,290164769.98,37200.611535897435,50
