year,quarter,storetype,ca_total,ca_moyen,nb_stores
2022,1,A,527339603.0,78008.82,26
2022,1,B,155818969.0,37456.48,16
2022,1,C,33464831.0,16088.86,8
2022,2,A,469522011.0,69455.92,26
2022,2,B,138034606.0,33181.4,16
2022,2,C,29241399.0,14058.37,8
2022,3,A,518438698.0,76692.12,26
2022,3,B,152436688.0,36643.43,16
2022,3,C,32663916.0,15703.81,8
2022,4,A,687093096.0,94380.92,26
2022,4,B,203063257.0,45326.62,16
2022,4,C,43743461.0,19528.33,8
2023,1,A,486388621.0,77946.89,26
2023,1,B,144949218.0,37747.19,16
2023,1,C,30171847.0,15714.5,8
2023,2,A,471912110.0,69809.48,26
2023,2,B,139350055.0,33497.61,16
2023,2,C,29465739.0,14166.22,8
2023,3,A,563237926.0,77367.85,26
2023,3,B,164978577.0,36825.58,16
2023,3,C,34499560.0,15401.59,8
2023,4,A,642925800.0,95107.37,26
2023,4,B,191763751.0,46097.06,16
2023,4,C,39773400.0,19121.83,8
2024,1,A,520785743.0,77039.31,26
2024,1,B,155370503.0,37348.68,16
2024,1,C,32220957.0,15490.84,8
2024,2,A,469650888.0,69474.98,26
2024,2,B,138875690.0,33383.58,16
2024,2,C,29476836.0,14171.56,8
2024,3,A,522058837.0,77227.64,26
2024,3,B,153672307.0,36940.46,16
2024,3,C,32547387.0,15647.78,8
2024,4,A,615659398.0,98663.37,26
2024,4,B,176295826.0,45910.37,16
2024,4,C,37652742.0,19610.8,8
