storeid,storelabel,storetype,sizecategory,ca_total,ca_moyen,rang_global,rang_dense,rang_dans_type,pct_ca_total
32,Store_32,A,Large,303223049.0,97186.87,1,1,1,3.44
41,Store_41,A,Large,301811851.0,96734.57,2,2,2,3.42
5,Store_05,A,Large,300063877.0,96174.32,3,3,3,3.4
1,Store_01,A,Large,299904996.0,96123.4,4,4,4,3.4
11,Store_11,A,Large,292354025.0,93703.21,5,5,5,3.32
37,Store_37,A,Large,291374339.0,93389.21,6,6,6,3.31
6,Store_06,A,Large,290117939.0,92986.52,7,7,7,3.29
47,Store_47,A,Large,285766679.0,91591.88,8,8,8,3.24
38,Store_38,A,Large,280749382.0,89983.78,9,9,9,3.19
23,Store_23,A,Large,279639037.0,89627.9,10,10,10,3.17
15,Store_15,A,Large,258960009.0,83000.0,11,11,11,2.94
45,Store_45,A,Large,255205828.0,81796.74,12,12,12,2.9
40,Store_40,A,Large,253911560.0,81381.91,13,13,13,2.88
24,Store_24,A,Large,253447308.0,81233.11,14,14,14,2.88
19,Store_19,A,Large,253132541.0,81132.22,15,15,15,2.87
20,Store_20,A,Large,245499351.0,78685.69,16,16,16,2.79
16,Store_16,A,Large,235567028.0,75502.25,17,17,17,2.67
43,Store_43,A,Large,223969582.0,71785.12,18,18,18,2.54
17,Store_17,A,Large,218793109.0,70126.0,19,19,19,2.48
33,Store_33,A,Large,208793742.0,66921.07,20,20,20,2.37
50,Store_50,A,Medium,207839671.0,66615.28,21,21,21,2.36
30,Store_30,A,Medium,202004513.0,64745.04,22,22,22,2.29
27,Store_27,A,Medium,192448692.0,61682.27,23,23,23,2.18
22,Store_22,A,Medium,188843741.0,60526.84,24,24,24,2.14
7,Store_07,A,Medium,186728203.0,59848.78,25,25,25,2.12
14,Store_14,A,Medium,184862681.0,59250.86,26,26,26,2.1
21,Store_21,B,Medium,166653394.0,53414.55,27,27,1,1.89
25,Store_25,B,Medium,160251437.0,51362.64,28,28,2,1.82
10,Store_10,B,Medium,159792227.0,51215.46,29,29,3,1.81
49,Store_49,B,Medium,133768983.0,42874.67,30,30,4,1.52
26,Store_26,B,Medium,130805424.0,41924.82,31,31,5,1.48
42,Store_42,B,Medium,124895294.0,40030.54,32,32,6,1.42
31,Store_31,B,Medium,118688121.0,38041.06,33,33,7,1.35
3,Store_03,B,Medium,115529958.0,37028.83,34,34,8,1.31
9,Store_09,B,Medium,112887362.0,36181.85,35,35,9,1.28
28,Store_28,B,Medium,111153406.0,35626.09,36,36,10,1.26
48,Store_48,B,Medium,108554137.0,34792.99,37,37,11,1.23
39,Store_39,B,Medium,103191846.0,33074.31,38,38,12,1.17
4,Store_04,B,Medium,96965353.0,31078.64,39,39,13,1.1
18,Store_18,B,Medium,92781541.0,29737.67,40,40,14,1.05
29,Store_29,B,Medium,90800227.0,29102.64,41,41,15,1.03
46,Store_46,B,Small,87890737.0,28170.11,42,42,16,1.0
44,Store_44,C,Medium,71561804.0,22936.48,43,43,1,0.81
36,Store_36,C,Small,65444403.0,20975.77,44,44,2,0.74
35,Store_35,C,Small,64256627.0,20595.07,45,45,3,0.73
13,Store_13,C,Small,60273453.0,19318.41,46,46,4,0.68
34,Store_34,C,Small,46033475.0,14754.32,47,47,5,0.52
12,Store_12,C,Small,38613466.0,12376.11,48,48,6,0.44
8,Store_08,C,Small,31361162.0,10051.65,49,49,7,0.36
2,Store_02,C,Small,27377685.0,8774.9,50,50,8,0.31
