date,storeid,ca_total,nb_depts
2022-12-03,6,2182567.0,20
2022-12-03,1,2160655.0,20
2022-12-03,37,2123698.0,20
2022-12-03,47,1948253.0,20
2022-12-03,38,1882501.0,20
2022-12-03,40,1876081.0,20
2022-12-03,11,1833379.0,20
2022-12-03,23,1793576.0,20
2022-12-03,41,1782648.0,20
2022-12-03,45,1779352.0,20
2022-12-03,5,1761878.0,20
2022-12-03,16,1741174.0,20
2022-12-03,24,1709297.0,20
2022-12-03,32,1683905.0,20
2022-12-03,43,1597073.0,20
2022-12-03,20,1540559.0,20
2022-12-03,15,1516506.0,20
2022-12-03,17,1426672.0,20
2022-12-03,22,1415325.0,20
2022-12-03,50,1411863.0,20
2022-12-03,19,1321196.0,20
2022-12-03,10,1291800.0,20
2022-12-03,33,1283853.0,20
2022-12-03,30,1231956.0,20
2022-12-03,7,1109879.0,20
2022-12-03,14,1097764.0,20
2022-12-03,21,1071434.0,20
2022-12-03,27,972129.0,20
2022-12-03,49,922353.0,20
2022-12-03,25,909661.0,20
2022-12-03,26,898194.0,20
2022-12-03,42,745355.0,20
2022-12-03,3,745313.0,20
2022-12-03,31,744639.0,20
2022-12-03,28,738363.0,20
2022-12-03,18,692484.0,20
2022-12-03,48,653138.0,20
2022-12-03,9,628511.0,20
2022-12-03,4,625253.0,20
2022-12-03,39,596223.0,20
2022-12-03,29,570384.0,20
2022-12-03,46,526893.0,20
2022-12-03,36,517230.0,20
2022-12-03,44,463320.0,20
2022-12-03,13,407471.0,20
2022-12-03,35,377066.0,20
2022-12-03,12,255709.0,20
2022-12-03,34,245021.0,20
2022-12-03,8,221853.0,20
2022-12-03,2,166004.0,20
2022-12-10,47,2261106.0,20
2022-12-10,11,2214294.0,20
2022-12-10,37,2108750.0,20
2022-12-10,5,2100890.0,20
2022-12-10,40,1903979.0,20
2022-12-10,1,1893275.0,20
2022-12-10,15,1880392.0,20
2022-12-10,38,1825294.0,20
2022-12-10,23,1701019.0,20
