storeid,storelabel,store_type,storesize,sizecategory,deptid,deptlabel,date,year,quarter,month,monthname,week,isholiday,ca_semaine,total_markdown,has_markdown,markdown1,markdown2,markdown3,markdown4,markdown5
1,Store_01,A,213810,Large,1,Dept_01,2022-01-01,2022,1,1,January,52,1,119075.96,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,2,Dept_02,2022-01-01,2022,1,1,January,52,1,119107.85,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,3,Dept_03,2022-01-01,2022,1,1,January,52,1,84369.88,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,4,Dept_04,2022-01-01,2022,1,1,January,52,1,88445.24,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,5,Dept_05,2022-01-01,2022,1,1,January,52,1,65159.85,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,6,Dept_06,2022-01-01,2022,1,1,January,52,1,99015.94,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,7,Dept_07,2022-01-01,2022,1,1,January,52,1,157858.77,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,8,Dept_08,2022-01-01,2022,1,1,January,52,1,58702.96,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,9,Dept_09,2022-01-01,2022,1,1,January,52,1,199677.02,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,10,Dept_10,2022-01-01,2022,1,1,January,52,1,139744.34,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,11,Dept_11,2022-01-01,2022,1,1,January,52,1,120637.14,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,12,Dept_12,2022-01-01,2022,1,1,January,52,1,195803.99,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,13,Dept_13,2022-01-01,2022,1,1,January,52,1,17652.27,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,14,Dept_14,2022-01-01,2022,1,1,January,52,1,106221.35,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,15,Dept_15,2022-01-01,2022,1,1,January,52,1,108400.37,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,16,Dept_16,2022-01-01,2022,1,1,January,52,1,143683.49,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,17,Dept_17,2022-01-01,2022,1,1,January,52,1,112557.87,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,18,Dept_18,2022-01-01,2022,1,1,January,52,1,141632.7,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,19,Dept_19,2022-01-01,2022,1,1,January,52,1,221089.54,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,20,Dept_20,2022-01-01,2022,1,1,January,52,1,196388.8,29476.38,1,10334.49,5905.86,5261.52,7098.43,876.08
1,Store_01,A,213810,Large,1,Dept_01,2022-01-08,2022,1,1,January,1,0,35525.05,8695.369999999999,1,1356.75,2486.21,1427.01,983.27,2442.13
1,Store_01,A,213810,Large,2,Dept_02,2022-01-08,2022,1,1,January,1,0,64660.95,8695.369999999999,1,1356.75,2486.21,1427.01,983.27,2442.13
1,Store_01,A,213810,Large,3,Dept_03,2022-01-08,2022,1,1,January,1,0,72545.36,8695.369999999999,1,1356.75,2486.21,1427.01,983.27,2442.13
1,Store_01,A,213810,Large,4,Dept_04,2022-01-08,2022,1,1,January,1,0,80907.98,8695.369999999999,1,1356.75,2486.21,1427.01,983.27,2442.13
